year,state_name,Levels Of Crime,Category,Value
2005,Texas,Level 3,Robbery,35790
2005,New York,Level 3,Motor Vehicle Theft,35736
2001,Texas,Level 3,Robbery,35348
2011,Ohio,Level 2,Violent Crime,35218
2005,New York,Level 3,Robbery,35179
2013,Florida,Level 3,Motor Vehicle Theft,34911
2012,Ohio,Level 2,Violent Crime,34827
2006,New York,Level 3,Robbery,34459
2006,Florida,Level 3,Robbery,34147
2007,Illinois,Level 3,Motor Vehicle Theft,33887
1995,Texas,Level 3,Robbery,33667
2004,New York,Level 3,Robbery,33506
1997,Illinois,Level 3,Robbery,33123
1996,Illinois,Level 3,Robbery,33106
2001,Florida,Level 3,Robbery,32867
2010,Texas,Level 3,Robbery,32843
1996,Texas,Level 3,Robbery,32804
2002,Florida,Level 3,Robbery,32581
2008,Illinois,Level 3,Motor Vehicle Theft,32572
2006,New York,Level 3,Motor Vehicle Theft,32133
1999,Florida,Level 3,Robbery,31969
2015,Texas,Level 3,Robbery,31924
2013,Texas,Level 3,Robbery,31810
2000,Florida,Level 3,Robbery,31809
2008,New York,Level 3,Robbery,31787
2003,Florida,Level 3,Robbery,31523
2007,New York,Level 3,Robbery,31085
2014,Texas,Level 3,Robbery,31021
2009,Florida,Level 3,Robbery,30911
1997,Texas,Level 3,Robbery,30522
2012,Texas,Level 3,Robbery,30385
2000,Texas,Level 3,Robbery,30257
2005,Florida,Level 3,Robbery,30141
2004,Florida,Level 3,Robbery,29997
1998,Illinois,Level 3,Robbery,29927
1999,Texas,Level 3,Robbery,29405
1998,Texas,Level 3,Robbery,28677
2012,New York,Level 3,Robbery,28633
2010,New York,Level 3,Robbery,28630
2011,Texas,Level 3,Robbery,28620
2011,New York,Level 3,Robbery,28405
2009,New York,Level 3,Robbery,28141
2007,New York,Level 3,Motor Vehicle Theft,28029
2014,Georgia,Level 3,Motor Vehicle Theft,27758
2013,New York,Level 3,Robbery,27241
2013,Georgia,Level 3,Motor Vehicle Theft,27159
2015,Georgia,Level 3,Motor Vehicle Theft,27149
2009,Illinois,Level 3,Motor Vehicle Theft,26676
1999,Illinois,Level 3,Robbery,26365
2010,Florida,Level 3,Robbery,26086
2000,Illinois,Level 3,Robbery,25641
2011,Florida,Level 3,Robbery,25622
2002,Illinois,Level 3,Robbery,25314
2008,New York,Level 3,Motor Vehicle Theft,25093
2001,Illinois,Level 3,Robbery,24931
2008,Illinois,Level 3,Robbery,24054
2014,New York,Level 3,Robbery,24036
2012,Florida,Level 3,Robbery,23889
2015,New York,Level 3,Robbery,23879
2003,Illinois,Level 3,Robbery,23786
2005,Illinois,Level 3,Robbery,23255
2013,Florida,Level 3,Robbery,23200
2007,Illinois,Level 3,Robbery,23100
2009,Illinois,Level 3,Robbery,22923
2004,Illinois,Level 3,Robbery,22582
2015,Georgia,Level 2,Aggravated Assault,22467
2014,Georgia,Level 2,Aggravated Assault,22415
2009,New York,Level 3,Motor Vehicle Theft,21871
2014,Florida,Level 3,Robbery,21621
2013,Georgia,Level 2,Aggravated Assault,21361
2015,Florida,Level 3,Robbery,21137
2010,Ohio,Level 3,Motor Vehicle Theft,21130
2011,Ohio,Level 3,Motor Vehicle Theft,20927
2010,New York,Level 3,Motor Vehicle Theft,20639
2012,Ohio,Level 3,Motor Vehicle Theft,19751
2006,Ohio,Level 3,Robbery,19418
2011,New York,Level 3,Motor Vehicle Theft,19249
2012,New York,Level 3,Motor Vehicle Theft,17317
2006,Ohio,Level 2,Aggravated Assault,16743
2010,Ohio,Level 3,Robbery,16486
2011,Ohio,Level 3,Robbery,15991
2014,New York,Level 3,Motor Vehicle Theft,15751
2010,Ohio,Level 2,Aggravated Assault,15611
2013,New York,Level 3,Motor Vehicle Theft,15483
2012,Ohio,Level 3,Robbery,15396
2015,New York,Level 3,Motor Vehicle Theft,15271
2012,Ohio,Level 2,Aggravated Assault,15140
2011,Ohio,Level 2,Aggravated Assault,15048
2014,Georgia,Level 3,Robbery,12786
2013,Georgia,Level 3,Robbery,12704
2015,Georgia,Level 3,Robbery,12545
1995,California,Level 1,Rape,10554
1996,California,Level 1,Rape,10244
2002,California,Level 1,Rape,10198
1997,California,Level 1,Rape,10189
2003,California,Level 1,Rape,9994
2001,California,Level 1,Rape,9960
2000,California,Level 1,Rape,9785
1998,California,Level 1,Rape,9782
2004,California,Level 1,Rape,9615
2005,California,Level 1,Rape,9392
1999,California,Level 1,Rape,9363
2015,California,Level 1,Rape,9341
2006,California,Level 1,Rape,9235
2007,California,Level 1,Rape,9046
2015,Texas,Level 1,Rape,8941
2008,California,Level 1,Rape,8903
2009,California,Level 1,Rape,8713
1995,Texas,Level 1,Rape,8563
2005,Texas,Level 1,Rape,8511
2002,Texas,Level 1,Rape,8508
2007,Texas,Level 1,Rape,8460
2006,Texas,Level 1,Rape,8429
2014,Texas,Level 1,Rape,8400
2014,California,Level 1,Rape,8389
2004,Texas,Level 1,Rape,8388
1996,Texas,Level 1,Rape,8376
2010,California,Level 1,Rape,8331
2009,Texas,Level 1,Rape,8311
2001,Texas,Level 1,Rape,8169
2008,Texas,Level 1,Rape,8055
2003,Texas,Level 1,Rape,8025
1997,Texas,Level 1,Rape,8011
1998,Texas,Level 1,Rape,7913
2000,Texas,Level 1,Rape,7856
2012,California,Level 1,Rape,7837
2012,Texas,Level 1,Rape,7715
2011,California,Level 1,Rape,7665
2010,Texas,Level 1,Rape,7622
1999,Texas,Level 1,Rape,7614
2013,Texas,Level 1,Rape,7610
1997,Florida,Level 1,Rape,7599
1996,Florida,Level 1,Rape,7508
2011,Texas,Level 1,Rape,7486
2013,California,Level 1,Rape,7464
1998,Florida,Level 1,Rape,7404
2000,Florida,Level 1,Rape,7057
1999,Florida,Level 1,Rape,6990
1995,Florida,Level 1,Rape,6887
2002,Florida,Level 1,Rape,6753
2003,Florida,Level 1,Rape,6727
2001,Florida,Level 1,Rape,6641
2004,Florida,Level 1,Rape,6612
2005,Florida,Level 1,Rape,6592
2006,Florida,Level 1,Rape,6475
2007,Florida,Level 1,Rape,6149
2008,Florida,Level 1,Rape,5972
2009,Florida,Level 1,Rape,5501
2015,Florida,Level 1,Rape,5396
2010,Florida,Level 1,Rape,5373
2011,Florida,Level 1,Rape,5273
2012,Florida,Level 1,Rape,5260
2014,Florida,Level 1,Rape,5038
2006,Ohio,Level 1,Rape,4770
2013,Florida,Level 1,Rape,4765
1996,Illinois,Level 1,Rape,4548
1997,Illinois,Level 1,Rape,4415
2015,New York,Level 1,Rape,4414
2002,Illinois,Level 1,Rape,4370
2014,New York,Level 1,Rape,4316
1995,Illinois,Level 1,Rape,4313
2005,Illinois,Level 1,Rape,4313
1999,Illinois,Level 1,Rape,4297
1995,New York,Level 1,Rape,4290
2004,Illinois,Level 1,Rape,4220
2003,Illinois,Level 1,Rape,4189
1996,New York,Level 1,Rape,4174
2008,Illinois,Level 1,Rape,4118
2007,Illinois,Level 1,Rape,4103
1998,Illinois,Level 1,Rape,4095
1997,New York,Level 1,Rape,4075
2001,Illinois,Level 1,Rape,4010
2000,Illinois,Level 1,Rape,3926
2009,Illinois,Level 1,Rape,3901
2002,New York,Level 1,Rape,3885
1998,New York,Level 1,Rape,3843
2012,Ohio,Level 1,Rape,3813
2003,New York,Level 1,Rape,3775
2010,Ohio,Level 1,Rape,3730
2011,Ohio,Level 1,Rape,3679
2005,New York,Level 1,Rape,3636
2004,New York,Level 1,Rape,3608
1999,New York,Level 1,Rape,3563
2001,New York,Level 1,Rape,3546
1995,California,Level 1,Homicide,3531
2000,New York,Level 1,Rape,3530
2006,New York,Level 1,Rape,3168
2007,New York,Level 1,Rape,2928
1996,California,Level 1,Homicide,2916
2012,New York,Level 1,Rape,2837
2008,New York,Level 1,Rape,2798
2010,New York,Level 1,Rape,2797
2011,New York,Level 1,Rape,2751
2009,New York,Level 1,Rape,2582
1997,California,Level 1,Homicide,2579
2013,New York,Level 1,Rape,2575
2005,California,Level 1,Homicide,2503
2006,California,Level 1,Homicide,2486
2003,California,Level 1,Homicide,2407
2002,California,Level 1,Homicide,2395
2004,California,Level 1,Homicide,2392
2015,Georgia,Level 1,Rape,2343
2007,California,Level 1,Homicide,2262
2014,Georgia,Level 1,Rape,2209
2001,California,Level 1,Homicide,2206
1998,California,Level 1,Homicide,2171
2008,California,Level 1,Homicide,2142
2000,California,Level 1,Homicide,2079
2013,Georgia,Level 1,Rape,2022
1999,California,Level 1,Homicide,2005
2009,California,Level 1,Homicide,1972
2012,California,Level 1,Homicide,1884
2015,California,Level 1,Homicide,1861
2010,California,Level 1,Homicide,1809
2011,California,Level 1,Homicide,1792
2013,California,Level 1,Homicide,1746
2014,California,Level 1,Homicide,1700
1995,Texas,Level 1,Homicide,1693
1995,New York,Level 1,Homicide,1550
1996,Texas,Level 1,Homicide,1477
2003,Texas,Level 1,Homicide,1422
2007,Texas,Level 1,Homicide,1419
2005,Texas,Level 1,Homicide,1407
2006,Texas,Level 1,Homicide,1386
2008,Texas,Level 1,Homicide,1370
2004,Texas,Level 1,Homicide,1364
1996,New York,Level 1,Homicide,1353
1998,Texas,Level 1,Homicide,1346
2001,Texas,Level 1,Homicide,1332
2009,Texas,Level 1,Homicide,1330
1997,Texas,Level 1,Homicide,1327
2015,Texas,Level 1,Homicide,1317
2002,Texas,Level 1,Homicide,1302
2010,Texas,Level 1,Homicide,1249
2000,Texas,Level 1,Homicide,1238
1995,Illinois,Level 1,Homicide,1221
1999,Texas,Level 1,Homicide,1217
2007,Florida,Level 1,Homicide,1202
2014,Texas,Level 1,Homicide,1192
1996,Illinois,Level 1,Homicide,1179
2008,Florida,Level 1,Homicide,1168
2012,Texas,Level 1,Homicide,1148
2013,Texas,Level 1,Homicide,1140
2011,Texas,Level 1,Homicide,1130
2006,Florida,Level 1,Homicide,1129
1997,Illinois,Level 1,Homicide,1096
1997,New York,Level 1,Homicide,1093
1996,Florida,Level 1,Homicide,1077
2015,Florida,Level 1,Homicide,1041
1995,Florida,Level 1,Homicide,1037
2009,Florida,Level 1,Homicide,1017
1997,Florida,Level 1,Homicide,1012
2012,Florida,Level 1,Homicide,1009
1998,Illinois,Level 1,Homicide,1008
2010,Florida,Level 1,Homicide,987
2011,Florida,Level 1,Homicide,984
2001,Illinois,Level 1,Homicide,982
2014,Florida,Level 1,Homicide,982
2013,Florida,Level 1,Homicide,972
1998,Florida,Level 1,Homicide,967
2002,Illinois,Level 1,Homicide,961
2001,New York,Level 1,Homicide,960
2000,New York,Level 1,Homicide,952
2004,Florida,Level 1,Homicide,946
1999,Illinois,Level 1,Homicide,939
2003,New York,Level 1,Homicide,934
1998,New York,Level 1,Homicide,924
2003,Florida,Level 1,Homicide,924
2006,New York,Level 1,Homicide,922
2002,Florida,Level 1,Homicide,911
2002,New York,Level 1,Homicide,909
1999,New York,Level 1,Homicide,903
2000,Florida,Level 1,Homicide,903
2000,Illinois,Level 1,Homicide,898
2003,Illinois,Level 1,Homicide,895
2004,New York,Level 1,Homicide,889
2005,Florida,Level 1,Homicide,883
2001,Florida,Level 1,Homicide,874
2005,New York,Level 1,Homicide,874
2010,New York,Level 1,Homicide,868
1999,Florida,Level 1,Homicide,859
2008,New York,Level 1,Homicide,836
2007,New York,Level 1,Homicide,805
2008,Illinois,Level 1,Homicide,790
2009,New York,Level 1,Homicide,781
2004,Illinois,Level 1,Homicide,780
2009,Illinois,Level 1,Homicide,773
2005,Illinois,Level 1,Homicide,770
2011,New York,Level 1,Homicide,769
2007,Illinois,Level 1,Homicide,752
2012,New York,Level 1,Homicide,683
2013,New York,Level 1,Homicide,644
2015,Georgia,Level 1,Homicide,622
2014,New York,Level 1,Homicide,616
2015,New York,Level 1,Homicide,613
2014,Georgia,Level 1,Homicide,607
2013,Georgia,Level 1,Homicide,563
2006,Ohio,Level 1,Homicide,560
2011,Ohio,Level 1,Homicide,500
2010,Ohio,Level 1,Homicide,479
2012,Ohio,Level 1,Homicide,478
